,original_ref,rxn_ref,retro_template,count
154,R24,R22,([c:2]:[cH:4]:[c:3]:[o:1])>>([OH:1].I-[c:2]).([C:3]#[CH:4]),1461
155,R24,R22,([c:5]-[c:4](:[o:1]):[cH:3]:[c:2])>>([OH:1].Br-[c:2]).([CH:3]#[C:4]-[c:5]),1041
156,R24,R22,([c:5]-[c:4](:[o:1]):[cH:3]:[c:2])>>([OH:1].I-[c:2]).([CH:3]#[C:4]-[c:5]),303
157,R25,R23,([c:1]:[cH:4]:[c:3]:[s:2])>>(Br-[c:1].C-[S:2]).([C:3]#[CH:4]),6134
158,R25,R23,([c:1]:[cH:3]:[c:4](-[c:5]):[s:2])>>(Br-[c:1].C-[S:2]).([CH:3]#[C:4]-[c:5]),871
159,R25,R23,([c:2]:[cH:4]:[c:3]:[s:1])>>(C-[S:1].I-[c:2]).([C:3]#[CH:4]),747
160,R25,R23,([c:5]-[c:4](:[s:1]):[cH:3]:[c:2])>>(C-[S:1].I-[c:2]).([CH:3]#[C:4]-[c:5]),149
161,R26,R24,([c:2]:[cH:4]:[c:3]:[nH:1])>>([NH2:1].Br-[c:2]).([C:3]#[CH:4]),6195
162,R26,R24,([c:2]:[cH:4]:[c:3]:[nH:1])>>([NH2:1].I-[c:2]).([C:3]#[CH:4]),1964
163,R26,R24,([c:5]-[c:4](:[nH:1]):[cH:3]:[c:2])>>([NH2:1].Br-[c:2]).([CH:3]#[C:4]-[c:5]),1276
164,R26,R24,([c:5]-[c:4](:[nH:1]):[cH:3]:[c:2])>>([NH2:1].I-[c:2]).([CH:3]#[C:4]-[c:5]),428
165,R27,R25,([c:3]-[c:2]1:[n:1]:[o:5]:[c:4]:n:1)>>([N:1]#[C:2]-[c:3]).(O-[C:4]=[O:5]),12613
166,R27,R25,([c:5]-[c:3]1:[o:4]:[n:2]:[c:1]:n:1)>>([C:1]#[N:2]).(O-[C:3](=[O:4])-[c:5]),8730
167,R27,R25,([c:6]-[c:4]1:[o:5]:[n:1]:[c:2](-[c:3]):n:1)>>([N:1]#[C:2]-[c:3]).(O-[C:4](=[O:5])-[c:6]),6741
168,R27,R25,([c:3]1:[o:4]:[n:2]:[c:1]:n:1)>>([C:1]#[N:2]).(O-[C:3]=[O:4]),5641
169,R28,R26,([C:4]-[CH2:3]-[O:1]-[c:2])>>([OH:1]-[c:2]).(Cl-[CH2:3]-[C:4]),5761
170,R28,R26,([C:1]-[O:2]-[CH2:3]-[c:4])>>([C:1]-[OH:2]).(Cl-[CH2:3]-[c:4]),5430
171,R28,R26,([C:1]-[O:2]-[CH2:3]-[C:4])>>([C:1]-[OH:2]).(Cl-[CH2:3]-[C:4]),4289
172,R28,R26,([C:4]-[CH2:3]-[O:1]-[c:2])>>([OH:1]-[c:2]).(Br-[CH2:3]-[C:4]),3720
173,R28,R26,([C:1]-[O:2]-[CH2:3]-[C:4])>>([C:1]-[OH:2]).(Br-[CH2:3]-[C:4]),2899
